grid_size,Mass_p,Mass_n,Delta_Mass,Delta_Mass_MeV,time_sec
100,1588.2724320770878,1590.4917041998742,2.2192721227863785,1.3110350914218702,0.5974586009979248
150,1601.2087037182002,1603.4356143790903,2.2269106608900984,1.3049191618573668,1.9498369693756104
200,1607.6991669284164,1609.9338579109613,2.234690982544862,1.304191742277423,4.609071254730225
250,1611.6000082541798,1613.8384757707365,2.2384675165567387,1.303233670226855,8.79188847541809
300,1614.2035759847347,1616.4445902963844,2.2410143116496783,1.3026120196378823,15.076731443405151
